"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "CSS", "TypeScript JSX", "XML", "Markdown", "comment", "blank", "total"
"f:\毕设-快递系统\src\components\client\menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 174, 0, 0, 0, 5, 179
"f:\毕设-快递系统\src\components\client\scroller.module.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"f:\毕设-快递系统\src\components\motion\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 13, 77
"f:\毕设-快递系统\src\components\motion\styles.module.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"f:\毕设-快递系统\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"f:\毕设-快递系统\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"f:\毕设-快递系统\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"f:\毕设-快递系统\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 9, 91
"f:\毕设-快递系统\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"f:\毕设-快递系统\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 217, 0, 0, 0, 20, 237
"f:\毕设-快递系统\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 12, 127
"f:\毕设-快递系统\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"f:\毕设-快递系统\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"f:\毕设-快递系统\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"f:\毕设-快递系统\src\config\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"f:\毕设-快递系统\src\constants\notifications.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"f:\毕设-快递系统\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\毕设-快递系统\src\utils\jd.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"f:\毕设-快递系统\tailwind.config.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 1, 4, 93
"f:\毕设-快递系统\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 8, 29, 225, 13971, 141, 3879, 2, 23, 39, 328, 18645
